LAWS50115, Commercial Restitution
HIST80001, PhD Research
MGMT90134, Writing and Publishing Reports
ELEN90084, Microwave Photonics
ISYS90093, Technopreneurship and Innovation
LAWS70386, Environmental Rights
LAWS70106, Financial Services Law
LAWS50085, Consumer Protection Law And Policy
BUSA90554, Professional Development and Application
LAWS90049, Reimagining Human Rights Law
ABPL90038, International Property Development A
LAWS90061, American Constitutional History & Rights
ACCT90017, Ph.D.- Accounting Thesis Workshop
ECOM90004, Time Series Analysis and Forecasting
DPSS90008, Design and the Production Process
GEND40009, Feminist & Queer Perspectives on Science
ECON90074, Economics Thesis Workshop Part 2
DPSS20012, Production Practice 2
ISYS90119, Information Systems Capstone Project
LAWS50033, Equity and Trusts
LAWS70018, Alternative Dispute Resolution
ARBC40001, Honours Arabic A
LAWS70008, Corporate Tax B
MEDS90008, Educational Theory for Surgical Training
AUDI90021, Clinical Audiology A
CRIM90012, Introduction to Forensic Disability
CHEM90043, Atmospheric Chemistry
ENGR90042, Engineering Research Project Part 2
CHEM90046, Magnetism in Chemistry
ATOC20003, Atmospheric Modelling
PHTY90120, Physiotherapy Clinical Practice C
LAWS50032, Administrative Law
DENT90011, Research Design 1
ATOC90004, Current Topics in Climate Science
LING40006, Linguistic Field Methods
FLTV90039, Producing Screen Projects Part 2
AUDI90039, Speech Pathology Practice 3
PHTY90114, Physiotherapy Advanced Clinical Practice
AUDI90027, Clinical Processes A
PSYC40004, Behavioural & Cognitive Neuroscience
ERTH90065, Earth Sciences Research Project Pt 6
ECON90056, World Economic History
LAWS70002, Tax of Business and Investment Income
LING90009, Language Assessment
LAWS70146, Tax Treaties
MEDS90027, Clinical Elective
MAST90103, Random Matrix Theory
ERTH40008, Earth Sciences Research Project Pt1
NURS90052, Nursing Science 3
MECM90035, Integrated Marketing Communications
CHEM90032, Chemistry Research Project Pt 3
AUDI90054, Audiology Practice B
MUSI20233, Jazz & Improv Composition Workshop
FNCE90076, Empirical Corporate Finance
SOCI90011, Foundations of Social Policy
DRAM90020, Directing Methodologies
LAWS70273, Entertainment Law
CUMC90040, Conservation in Theory and Practice
FLTV90044, Producing in Industry: Research Part 2
ABPL90426, Applied Design Thinking
BMSC90020, Exploring Neural Circuits and Systems
DRAM10034, Contextual Studies 2
REHB90005, Rehabilitation for Paediatrics
LAWS50039, Legal Research
COMP90014, Algorithms for Bioinformatics
DNCE90013, Body Time Space and Place
DENT90127, Foundation Procedural Skills
SWEN90014, Masters Software Engineering Project
POPH90217, Foundations of Public Health
FLTV90042, Producing in Industry: Attachment Part 2
CMCE20001, Commerce Internship
POPH90242, Epidemiology 2
BIOM90023, Research Project (MDS)
LAWS90186, Advanced Trusts Law
NURS90119, Mental Health Nursing Practice 2
CHEM90059, Chemistry Research Project Pt 4 (Cont.)
ENGM90015, Management and Leadership for Engineers
MUSI90257, Side-by-side Project 2
HEBR30018, Hebrew 9
DENT90102, Prosthodontics 1
BIOL90037, BioSciences Research Project Pt 5
DPSS90009, Technical Collaboration (Stage & Screen)
BIOL40008, BioSciences Honours Research Project Pt2
ECON40002, Advanced Macroeconomics
PHYC40013, Physics Research Project Pt2
BUSA90544, Marketing Analytics
AMGT90017, Marketing the Arts
LAWS90263, Transfer Pricing Disputes
ECON40003, International Trade
MAST10014, Foundation Mathematics 1
AUDI90002, Research for Hearing and Speech Sciences
ELEN90008, Signalling and Network Management
ENGR20005, Numerical Methods in Engineering
MUSI20082, Conservatorium Choir 1
BINF90012, Bioinformatics Research Project Pt 4
ECON90034, Economics of Finance
THTR90019, Writing for Performance 1 (Solo)
CVEN90073, Integrated Design Studio
MAST90011, Mathematical Biology
ENST90046, Landscape Governance and Policy
LAWS70348, Health Law: Patient Safety and the Law
FOOD90034, Sustainable Food Production
SCIE90032, Research Project in Comp Biol Pt3
LAWS70209, Licensing Law and Technology Transfer
BUSA90527, Digital Product Management
BUSA90193, Managerial Economics
BUSA90258, Marketing Research
SCIE20002, Human Sciences: Human/Nonhuman Encounter
MEDI90047, Congenital,Obstetric& Medical Conditions
LAWS70130, State Taxes and Duties
ACCT90010, Strategic Performance Management
ACCT10004, Introduction to Accounting
BUSA90360, Business Law
ENGR90019, Adv Topics in Fluid Mechanics
LAWS90182, Law and Religion in Asia
EVSC90015, Environmental Impact Assessment
LAWS90168, Animal Law and Policy
CHEM40012, Chemistry Honours Research Project Pt2
MUSI20218, Area Studies in Ethnomusicology
ECON90025, Cooperation and Conflict in World Trade
LAWS70071, Advanced Evidence
ELEN90078, Distributed Systems and Game Theory
MEDI90086, Cancer Research
ECON90062, Behavioural Economics:Accounting&Finance
CHEN90018, Particle Technology
LAWS90070, Consumer Protection
PHIL70005, Shorter Thesis - Philosophy
ERTH90051, Python for Earth Sciences
CVEN90068, Port Access and Navigation
LAWS90066, Unilateral Conduct
LAWS90082, The Legal System: Bases and Challenges
ELEN30014, Analog and Digital Electronics Concepts
LAWS90238, Press Freedom and National Security
ELEN90080, Secure Cyberphysical Systems
COMP90045, Programming Language Implementation
COMP90088, Cryptocurrencies & decentralised ledgers
LAWS90120, Public Health Law
MUSI30276, ANAM Ensembles 6
ABPL90241, Representing and Remembering Place (PG)
ABPL90151, Popular Architecture and Design
LAWS70065, Event Management Law
CVEN90045, Engineering Project Implementation
ACTL90014, Insurance Risk Models II
HLTH90004, Health & Human Services Research Project
LAWS90038, Law of Elections
FNCE90086, Behavioural Finance
LAWS90109, Histories of International Law
BUSA90055, Corporate Strategy
LAWS90084, Comparative Foreign Affairs Law
ISYS80001, PhD Research
GEOM90026, MPhil Research
CHEN90034, Research Methods
LAWS90193, Design for Innovation
ATOC90005, Atmosphere Ocean Interaction and Climate
PSYT90095, Advanced Mental Health and Ageing
BUSA90073, Economics & Public Policy
ATOC90018, Climate Science Industry Project
LAWS90211, Indonesian Law
LAWS90167, Administrative Law in Tax Matters
CHEM70002, Industry Research Project
BUSA90228, Operations
ABPL90336, Craft in Traditional Asian Architecture
LAWS70397, Latin American Constitutionalisms
MUSI40047, Music in the Culture of the Renaissance
GEOG30031, Law Space: Geographies of Justice
ABPL90305, Design Research
GEOM90015, Spatial Data Infrastructure
LAWS70334, Bills of Rights
CHEM30001, Physical Chemistry III
LAWS50088, Commercial Law In Asia
LAWS50069, Human Rights Lawyering
PHTY90098, Musculoskeletal Clinical Practice
ECOM90006, Special Topics in Advanced Econometrics
NURS90109, Minor Thesis Part 2
LAWS90218, Constitutions in Global Perspective
DEVT90040, Gender Issues in Development
FINA30002, Studio Studies 6
SWEN90004, Modelling Complex Software Systems
ARTS20002, Going Places - Travelling Smarter
BUSA90490, Integrative Business Capstone
ACTL40004, Advanced Financial Mathematics
AGRI10052, Agricultural Genetics
CRIM40008, Criminology Thesis Part 1
MEDS90015, Simulation in Surgical Education
BUSA90559, Sustainability & Analytics as a Comp Adv
PSYT90099, Mental Ill-health in Young People 1
PHYC40009, Physics Research Project Pt1
AMGT90012, Managing Creative Content
LAWS90203, Science & AI: Legal & Ethical Challenges
FLTV10012, Screenwriting Practices 1A
DENT90116, Dental Practice 1
ABPL90444, Travelling Studio Japan-Architecture
POPH90283, Epidemiology Research Project Part 2
LAWS90247, Sexual Crimes, Sexual Conduct and Law
PSYC10007, Mind, Brain and Behaviour B
MUSI20229, ANAM-MCM Ensembles 3
MCEN90053, Industrial Systems and Simulation
CRIM90034, Post-conflict Justice
FNCE90043, Special Topics in Finance A
MUSI40054, Studies In Opera
MEDI90138, Peri-Arrest Ultrasound - Practical
AUDI90048, Principles of Clinical Audiology
LANG40003, Seminar in Languages 1
MIIM40002, Advanced Microbiology and Immunology
ARTS90033, Arts Research Internship
BUSA90513, Industry Studies in America
SCIE90028, Biotechnology Research Project Part 1
ENGL40027, English & Theatre Studies Thesis Part 2
BUSA90195, Managerial Economics
ENST90043, Sustainable Landscapes
SCWK90072, Professional Identity 1
ISYS90089, Strategic Change Leadership
MAST90135, Foundations of Analytics
NURS90152, Critical Care Nursing
ANAT90011, Anatomy and Physiology
FLTV30018, Animation Lab 3
ARTS90015, Researching Language
ABPL90283, Ecology for Design
MUSI90038, Music Therapy Practice 1
EVSC90023, Building Behaviour in Bushfires
BUSA90261, Marketing Strategy
FLTV90043, Producing in Industry: Research Part 1
GEOG40010, Geography Honours Research Project Pt2
ABPL30063, AA Visiting School Undergraduate
HIST30060, Making History
SCIE30003, Science Research Project Abroad
PSYC90016, Advanced Psychological Practice 2
POPH90199, Gender and Health
AMGT90030, Philanthropy and Development in the Arts
LAWS90237, FinTech and Payments Law
VETS90027, Master Thesis in Vet Science (Clinical)
REHB90010, Research and Evidence in Practice
MAST90144, Stochastic Optimisation
ARTS90026, Interdisciplinary Industry Project 1
MUSI40078, Music Research (Honours)
BUSA20001, Visualisation and Data Wrangling
PHTY90111, Leadership in Professional Practice
MEDI90116, Breast Ultrasound
MGMT90250, Applied Analytics Capstone Part 1
BIOL40014, Advanced Coursework in Medical Biology
FNCE90071, DRFS Research Report Part 1
FREN90003, Graduate French A
ECON90063, Advanced Microeconomics
ABPL90375, Landscape Architecture Design Thesis
AMGT90001, Principles of Arts Management
